timestamp,longitude,latitude,speed
1513516171,3114.76136,12117.43075,0.039
1513516172,3114.76132,12117.43071,0.085
1513516173,3114.76131,12117.43071,0.072
1513516173,3114.76128,12117.43072,0.081
1513516174,3114.76124,12117.43075,0.030
1513516175,3114.76125,12117.43077,0.065
1513516176,3114.76126,12117.43079,0.024
1513516177,3114.76121,12117.43071,0.033
1513516178,3114.76119,12117.43065,0.007
1513516179,3114.76121,12117.43059,0.070
1513516180,3114.76117,12117.43051,0.017
1513516181,3114.76116,12117.43046,0.004
1513516182,3114.76115,12117.43044,0.007
1513516183,3114.76116,12117.43043,0.013
1513516184,3114.76115,12117.43044,0.011
1513516185,3114.76115,12117.43046,0.017
1513516186,3114.76114,12117.43048,0.002
1513516187,3114.76114,12117.43051,0.007
1513516188,3114.76112,12117.43054,0.017
1513516189,3114.76110,12117.43058,0.015
1513516190,3114.76107,12117.43060,0.011
1513516191,3114.76104,12117.43065,0.007
1513516192,3114.76102,12117.43070,0.009
1513516193,3114.76101,12117.43076,0.020
1513516194,3114.76100,12117.43081,0.013
1513516195,3114.76099,12117.43086,0.015
1513516196,3114.76099,12117.43091,0.006
1513516197,3114.76100,12117.43095,0.007
1513516198,3114.76101,12117.43101,0.015
1513516199,3114.76102,12117.43106,0.015
1513516200,3114.76103,12117.43111,0.030
1513516201,3114.76104,12117.43114,0.015
1513516202,3114.76105,12117.43116,0.015
1513516203,3114.76105,12117.43118,0.009
1513516204,3114.76106,12117.43119,0.011
1513516205,3114.76106,12117.43120,0.015
1513516206,3114.76106,12117.43121,0.006
1513516207,3114.76106,12117.43121,0.011
1513516208,3114.76105,12117.43121,0.009
1513516209,3114.76105,12117.43122,0.020
1513516210,3114.76101,12117.43124,0.226
1513516211,3114.76098,12117.43128,0.028
1513516212,3114.76099,12117.43136,0.017
1513516213,3114.76097,12117.43142,0.020
1513516214,3114.76093,12117.43148,0.022
1513516215,3114.76091,12117.43150,0.015
1513516216,3114.76091,12117.43151,0.017
1513516217,3114.76089,12117.43151,0.004
1513516218,3114.76088,12117.43151,0.015
1513516219,3114.76088,12117.43150,0.004
1513516220,3114.76087,12117.43151,0.013
1513516221,3114.76088,12117.43151,0.006
1513516222,3114.76088,12117.43151,0.020
1513516223,3114.76089,12117.43150,0.015
1513516224,3114.76090,12117.43150,0.007
1513516225,3114.76091,12117.43150,0.007
1513516226,3114.76093,12117.43151,0.011
1513516227,3114.76094,12117.43152,0.011
1513516228,3114.76096,12117.43152,0.009
1513516229,3114.76097,12117.43153,0.013
1513516230,3114.76098,12117.43153,0.015
1513516231,3114.76099,12117.43154,0.015
1513516232,3114.76100,12117.43154,0.011
1513516233,3114.76102,12117.43155,0.006
1513516234,3114.76104,12117.43155,0.006
1513516235,3114.76107,12117.43156,0.022
1513516236,3114.76109,12117.43156,0.006
1513516237,3114.76110,12117.43157,0.030
1513516238,3114.76111,12117.43158,0.011
1513516239,3114.76112,12117.43159,0.015
1513516240,3114.76113,12117.43160,0.015
1513516241,3114.76113,12117.43162,0.017
1513516242,3114.76114,12117.43164,0.015
1513516243,3114.76115,12117.43167,0.006
1513516244,3114.76117,12117.43169,0.009
1513516245,3114.76118,12117.43170,0.009
1513516246,3114.76119,12117.43172,0.007
1513516247,3114.76119,12117.43173,0.013
1513516248,3114.76120,12117.43175,0.017
1513516249,3114.76121,12117.43175,0.035
1513516250,3114.76123,12117.43176,0.024
1513516251,3114.76124,12117.43177,0.004
1513516252,3114.76126,12117.43177,0.013
1513516253,3114.76127,12117.43178,0.019
1513516254,3114.76129,12117.43178,0.009
1513516255,3114.76131,12117.43178,0.019
1513516256,3114.76135,12117.43177,0.011
1513516257,3114.76138,12117.43177,0.007
1513516258,3114.76141,12117.43176,0.009
1513516259,3114.76144,12117.43175,0.017
1513516260,3114.76146,12117.43173,0.037
1513516261,3114.76149,12117.43172,0.020
1513516262,3114.76151,12117.43171,0.024
1513516263,3114.76154,12117.43170,0.004
1513516264,3114.76157,12117.43169,0.015
1513516265,3114.76160,12117.43169,0.013
1513516266,3114.76163,12117.43171,0.026
1513516267,3114.76165,12117.43173,0.002
1513516268,3114.76167,12117.43175,0.009
1513516269,3114.76170,12117.43177,0.020
1513516270,3114.76171,12117.43180,0.015
1513516271,3114.76172,12117.43182,0.033
1513516272,3114.76172,12117.43184,0.030
1513516273,3114.76173,12117.43185,0.002
1513516274,3114.76173,12117.43187,0.020
1513516275,3114.76174,12117.43188,0.002
1513516276,3114.76175,12117.43189,0.019
1513516277,3114.76177,12117.43188,0.030
1513516278,3114.76179,12117.43188,0.000
1513516279,3114.76180,12117.43187,0.007
1513516280,3114.76178,12117.43187,0.020
1513516281,3114.76179,12117.43187,0.013
1513516282,3114.76177,12117.43186,0.019
1513516283,3114.76179,12117.43186,0.017
1513516284,3114.76179,12117.43185,0.009
1513516285,3114.76176,12117.43184,0.022
1513516286,3114.76173,12117.43184,0.004
1513516287,3114.76170,12117.43185,0.028
1513516288,3114.76167,12117.43185,0.011
1513516289,3114.76166,12117.43184,0.004
1513516290,3114.76165,12117.43184,0.011
1513516291,3114.76162,12117.43184,0.013
1513516292,3114.76160,12117.43184,0.015
1513516293,3114.76159,12117.43183,0.004
1513516294,3114.76158,12117.43181,0.022
1513516295,3114.76157,12117.43181,0.017
1513516296,3114.76157,12117.43180,0.039
1513516297,3114.76157,12117.43178,0.009
1513516298,3114.76157,12117.43177,0.030
1513516299,3114.76156,12117.43176,0.046
1513516300,3114.76157,12117.43174,0.009
1513516301,3114.76158,12117.43173,0.006
1513516302,3114.76160,12117.43172,0.094
1513516303,3114.76162,12117.43170,0.007
1513516304,3114.76163,12117.43170,0.006
1513516305,3114.76164,12117.43169,0.004
1513516306,3114.76165,12117.43169,0.011
1513516307,3114.76166,12117.43168,0.011
1513516308,3114.76166,12117.43167,0.013
1513516309,3114.76166,12117.43166,0.009
1513516310,3114.76166,12117.43166,0.019
1513516311,3114.76165,12117.43165,0.002
1513516312,3114.76163,12117.43165,0.002
1513516313,3114.76162,12117.43165,0.011
1513516314,3114.76162,12117.43164,0.011
1513516315,3114.76162,12117.43164,0.026
1513516316,3114.76162,12117.43164,0.024
1513516317,3114.76161,12117.43165,0.011
1513516318,3114.76160,12117.43165,0.022
1513516319,3114.76161,12117.43165,0.017
1513516320,3114.76161,12117.43165,0.013
1513516321,3114.76163,12117.43165,0.015
1513516322,3114.76164,12117.43165,0.030
1513516323,3114.76166,12117.43164,0.007
1513516324,3114.76168,12117.43162,0.026
1513516325,3114.76169,12117.43161,0.017
1513516326,3114.76170,12117.43160,0.004
1513516327,3114.76170,12117.43159,0.004
1513516328,3114.76170,12117.43158,0.017
1513516329,3114.76170,12117.43159,0.011
1513516330,3114.76171,12117.43159,0.013
1513516331,3114.76172,12117.43159,0.020
1513516332,3114.76172,12117.43160,0.022
1513516333,3114.76173,12117.43159,0.009
1513516334,3114.76174,12117.43159,0.011
1513516335,3114.76175,12117.43157,0.015
1513516336,3114.76176,12117.43155,0.019
1513516337,3114.76178,12117.43153,0.019
1513516338,3114.76179,12117.43152,0.020
1513516339,3114.76179,12117.43152,0.013
1513516340,3114.76179,12117.43152,0.022
1513516341,3114.76179,12117.43153,0.015
1513516342,3114.76180,12117.43154,0.011
1513516343,3114.76181,12117.43155,0.020
1513516344,3114.76181,12117.43156,0.019
1513516345,3114.76182,12117.43156,0.009
1513516346,3114.76182,12117.43157,0.004
1513516347,3114.76182,12117.43157,0.022
1513516348,3114.76181,12117.43157,0.028
1513516349,3114.76182,12117.43156,0.022
1513516350,3114.76183,12117.43156,0.017
1513516351,3114.76183,12117.43155,0.009
1513516352,3114.76185,12117.43154,0.015
1513516353,3114.76186,12117.43154,0.009
1513516354,3114.76187,12117.43153,0.020
1513516355,3114.76189,12117.43153,0.017
1513516356,3114.76191,12117.43152,0.026
1513516357,3114.76194,12117.43151,0.011
1513516358,3114.76197,12117.43151,0.030
1513516359,3114.76199,12117.43151,0.011
1513516360,3114.76201,12117.43151,0.026
1513516361,3114.76202,12117.43150,0.019
1513516362,3114.76204,12117.43150,0.004
1513516363,3114.76206,12117.43148,0.019
1513516364,3114.76207,12117.43147,0.009
1513516365,3114.76207,12117.43146,0.011
1513516366,3114.76207,12117.43144,0.009
1513516367,3114.76207,12117.43142,0.031
1513516368,3114.76207,12117.43140,0.017
1513516369,3114.76206,12117.43138,0.002
1513516370,3114.76204,12117.43137,0.033
1513516371,3114.76203,12117.43135,0.020
1513516372,3114.76201,12117.43134,0.007
1513516373,3114.76200,12117.43132,0.019
1513516374,3114.76198,12117.43130,0.028
1513516375,3114.76197,12117.43128,0.030
1513516376,3114.76193,12117.43127,0.024
1513516377,3114.76190,12117.43126,0.015
1513516378,3114.76187,12117.43126,0.028
1513516379,3114.76183,12117.43126,0.017
1513516380,3114.76180,12117.43126,0.013
1513516381,3114.76179,12117.43126,0.013
1513516382,3114.76178,12117.43126,0.017
1513516383,3114.76178,12117.43126,0.020
1513516384,3114.76180,12117.43127,0.004
1513516385,3114.76181,12117.43127,0.015
1513516386,3114.76182,12117.43128,0.006
1513516387,3114.76182,12117.43130,0.022
1513516388,3114.76183,12117.43130,0.033
1513516389,3114.76183,12117.43129,0.020
1513516390,3114.76184,12117.43129,0.020
1513516391,3114.76186,12117.43126,0.035
1513516392,3114.76188,12117.43124,0.009
1513516393,3114.76191,12117.43122,0.007
1513516394,3114.76193,12117.43119,0.009
1513516395,3114.76196,12117.43118,0.006
1513516396,3114.76199,12117.43116,0.013
1513516397,3114.76201,12117.43114,0.024
1513516398,3114.76203,12117.43112,0.015
1513516399,3114.76205,12117.43111,0.020
1513516400,3114.76207,12117.43110,0.019
1513516401,3114.76209,12117.43109,0.022
1513516402,3114.76211,12117.43109,0.011
1513516403,3114.76212,12117.43109,0.030
1513516404,3114.76213,12117.43110,0.004
1513516405,3114.76214,12117.43110,0.017
1513516406,3114.76215,12117.43110,0.007
1513516407,3114.76216,12117.43110,0.006
1513516408,3114.76215,12117.43111,0.009
1513516409,3114.76215,12117.43113,0.007
1513516410,3114.76215,12117.43114,0.011
1513516411,3114.76215,12117.43115,0.009
1513516412,3114.76215,12117.43115,0.013
1513516413,3114.76216,12117.43114,0.019
1513516414,3114.76217,12117.43113,0.017
1513516415,3114.76218,12117.43111,0.028
1513516416,3114.76219,12117.43110,0.011
1513516417,3114.76220,12117.43110,0.015
1513516418,3114.76220,12117.43111,0.007
1513516419,3114.76220,12117.43112,0.011
1513516420,3114.76220,12117.43113,0.017
1513516421,3114.76219,12117.43114,0.009
1513516422,3114.76218,12117.43114,0.006
1513516423,3114.76217,12117.43116,0.004
1513516424,3114.76216,12117.43118,0.011
1513516425,3114.76216,12117.43119,0.009
1513516426,3114.76216,12117.43119,0.009
1513516427,3114.76216,12117.43119,0.013
1513516428,3114.76216,12117.43120,0.006
1513516429,3114.76216,12117.43121,0.006
1513516430,3114.76216,12117.43121,0.017
1513516431,3114.76216,12117.43123,0.026
1513516432,3114.76218,12117.43124,0.015
1513516433,3114.76220,12117.43125,0.022
1513516434,3114.76221,12117.43126,0.017
1513516435,3114.76220,12117.43127,0.031
1513516436,3114.76218,12117.43129,0.022
1513516437,3114.76216,12117.43131,0.009
1513516438,3114.76213,12117.43132,0.011
1513516439,3114.76210,12117.43133,0.013
1513516440,3114.76207,12117.43134,0.015
1513516441,3114.76204,12117.43134,0.020
1513516442,3114.76200,12117.43134,0.015
1513516443,3114.76195,12117.43135,0.026
1513516444,3114.76191,12117.43137,0.024
1513516445,3114.76187,12117.43139,0.026
1513516446,3114.76184,12117.43140,0.009
1513516447,3114.76182,12117.43140,0.019
1513516448,3114.76181,12117.43141,0.015
1513516449,3114.76179,12117.43140,0.022
1513516450,3114.76176,12117.43138,0.013
1513516451,3114.76173,12117.43136,0.024
1513516452,3114.76172,12117.43134,0.017
1513516453,3114.76170,12117.43132,0.026
1513516454,3114.76167,12117.43129,0.015
1513516455,3114.76164,12117.43126,0.019
1513516456,3114.76161,12117.43124,0.013
1513516457,3114.76158,12117.43122,0.007
1513516458,3114.76155,12117.43120,0.015
1513516459,3114.76153,12117.43118,0.011
1513516460,3114.76150,12117.43116,0.019
1513516461,3114.76146,12117.43115,0.015
1513516462,3114.76143,12117.43114,0.015
1513516463,3114.76139,12117.43113,0.022
1513516464,3114.76136,12117.43112,0.015
1513516465,3114.76134,12117.43113,0.030
1513516466,3114.76133,12117.43113,0.015
1513516467,3114.76132,12117.43114,0.022
1513516468,3114.76132,12117.43114,0.030
1513516469,3114.76133,12117.43115,0.017
1513516470,3114.76133,12117.43116,0.002
1513516471,3114.76134,12117.43117,0.006
1513516472,3114.76136,12117.43119,0.007
1513516473,3114.76138,12117.43120,0.017
1513516474,3114.76139,12117.43122,0.006
1513516475,3114.76140,12117.43123,0.009
1513516476,3114.76140,12117.43124,0.002
1513516477,3114.76137,12117.43125,0.022
1513516478,3114.76136,12117.43126,0.020
1513516479,3114.76133,12117.43129,0.031
1513516480,3114.76131,12117.43131,0.015
1513516481,3114.76130,12117.43133,0.011
1513516482,3114.76128,12117.43134,0.020
1513516483,3114.76126,12117.43136,0.007
1513516484,3114.76125,12117.43138,0.004
1513516485,3114.76125,12117.43138,0.006
1513516486,3114.76124,12117.43139,0.020
1513516487,3114.76123,12117.43140,0.011
1513516488,3114.76123,12117.43140,0.013
1513516489,3114.76123,12117.43140,0.007
1513516490,3114.76123,12117.43140,0.011
1513516491,3114.76124,12117.43140,0.013
1513516492,3114.76125,12117.43139,0.007
1513516493,3114.76127,12117.43137,0.007
1513516494,3114.76128,12117.43135,0.028
1513516495,3114.76130,12117.43134,0.013
1513516496,3114.76131,12117.43133,0.017
1513516497,3114.76132,12117.43132,0.009
1513516498,3114.76133,12117.43132,0.024
1513516499,3114.76135,12117.43131,0.028
1513516500,3114.76135,12117.43132,0.004
1513516501,3114.76137,12117.43133,0.017
1513516502,3114.76137,12117.43134,0.011
1513516503,3114.76137,12117.43134,0.015
1513516504,3114.76139,12117.43136,0.031
1513516505,3114.76140,12117.43137,0.019
1513516506,3114.76141,12117.43139,0.020
1513516507,3114.76141,12117.43140,0.013
1513516508,3114.76139,12117.43142,0.020
1513516509,3114.76139,12117.43143,0.015
1513516510,3114.76139,12117.43144,0.007
1513516511,3114.76136,12117.43146,0.026
1513516512,3114.76134,12117.43147,0.020
1513516513,3114.76133,12117.43149,0.009
1513516514,3114.76133,12117.43151,0.017
1513516515,3114.76133,12117.43153,0.007
1513516516,3114.76134,12117.43154,0.013
1513516517,3114.76135,12117.43157,0.020
1513516518,3114.76136,12117.43158,0.006
1513516519,3114.76138,12117.43160,0.007
1513516520,3114.76140,12117.43160,0.022
1513516521,3114.76142,12117.43160,0.011
1513516522,3114.76144,12117.43158,0.002
1513516523,3114.76146,12117.43156,0.009
1513516524,3114.76147,12117.43155,0.009
1513516525,3114.76149,12117.43153,0.017
1513516526,3114.76151,12117.43152,0.015
1513516527,3114.76151,12117.43150,0.009
1513516528,3114.76151,12117.43148,0.022
1513516529,3114.76152,12117.43145,0.024
1513516530,3114.76152,12117.43143,0.017
1513516531,3114.76154,12117.43140,0.009
1513516532,3114.76157,12117.43138,0.004
1513516533,3114.76161,12117.43137,0.015
1513516534,3114.76164,12117.43136,0.007
1513516535,3114.76166,12117.43134,0.013
1513516536,3114.76167,12117.43133,0.011
1513516537,3114.76168,12117.43133,0.015
1513516538,3114.76169,12117.43133,0.017
1513516539,3114.76170,12117.43133,0.019
1513516540,3114.76169,12117.43132,0.007
1513516541,3114.76168,12117.43130,0.024
1513516542,3114.76165,12117.43129,0.009
1513516543,3114.76164,12117.43128,0.013
1513516544,3114.76163,12117.43128,0.015
1513516545,3114.76160,12117.43128,0.007
1513516546,3114.76158,12117.43127,0.019
1513516547,3114.76157,12117.43126,0.013
1513516548,3114.76155,12117.43126,0.017
1513516549,3114.76153,12117.43125,0.011
1513516550,3114.76152,12117.43124,0.006
1513516551,3114.76149,12117.43123,0.013
1513516552,3114.76147,12117.43122,0.004
1513516553,3114.76145,12117.43119,0.013
1513516554,3114.76142,12117.43116,0.019
1513516555,3114.76140,12117.43111,0.017
1513516556,3114.76137,12117.43108,0.011
1513516557,3114.76134,12117.43105,0.026
1513516558,3114.76129,12117.43102,0.037
1513516559,3114.76124,12117.43100,0.030
1513516560,3114.76119,12117.43098,0.017
1513516561,3114.76115,12117.43096,0.037
1513516562,3114.76113,12117.43093,0.002
1513516563,3114.76110,12117.43091,0.009
1513516564,3114.76108,12117.43090,0.019
1513516565,3114.76106,12117.43089,0.026
1513516566,3114.76103,12117.43089,0.037
1513516567,3114.76101,12117.43090,0.007
1513516568,3114.76100,12117.43091,0.019
1513516569,3114.76101,12117.43093,0.009
1513516570,3114.76103,12117.43095,0.011
1513516571,3114.76104,12117.43098,0.015
1513516572,3114.76105,12117.43100,0.037
1513516573,3114.76106,12117.43101,0.024
1513516574,3114.76109,12117.43102,0.013
1513516575,3114.76113,12117.43103,0.015
1513516576,3114.76115,12117.43103,0.013
1513516577,3114.76119,12117.43103,0.024
1513516578,3114.76123,12117.43103,0.009
1513516579,3114.76128,12117.43103,0.024
1513516580,3114.76131,12117.43103,0.009
1513516581,3114.76134,12117.43100,0.028
1513516582,3114.76137,12117.43100,0.007
1513516583,3114.76141,12117.43099,0.011
1513516584,3114.76146,12117.43098,0.013
1513516585,3114.76151,12117.43097,0.015
1513516586,3114.76155,12117.43095,0.002
1513516587,3114.76159,12117.43096,0.015
1513516588,3114.76161,12117.43097,0.009
1513516589,3114.76164,12117.43098,0.015
1513516590,3114.76168,12117.43100,0.002
1513516591,3114.76171,12117.43103,0.015
1513516592,3114.76174,12117.43105,0.015
1513516593,3114.76178,12117.43107,0.013
1513516594,3114.76182,12117.43109,0.007
1513516595,3114.76186,12117.43112,0.015
1513516596,3114.76192,12117.43116,0.007
1513516597,3114.76197,12117.43120,0.017
1513516598,3114.76202,12117.43123,0.007
1513516599,3114.76204,12117.43128,0.006
1513516600,3114.76206,12117.43133,0.006
1513516601,3114.76207,12117.43137,0.020
1513516602,3114.76208,12117.43141,0.007
1513516603,3114.76208,12117.43145,0.026
1513516604,3114.76209,12117.43152,0.007
1513516605,3114.76208,12117.43157,0.035
1513516606,3114.76207,12117.43162,0.015
1513516607,3114.76206,12117.43167,0.015
1513516608,3114.76205,12117.43170,0.002
1513516609,3114.76204,12117.43172,0.002
1513516610,3114.76203,12117.43176,0.006
1513516611,3114.76203,12117.43180,0.013
1513516612,3114.76203,12117.43184,0.007
1513516613,3114.76203,12117.43187,0.009
1513516614,3114.76204,12117.43191,0.024
1513516615,3114.76206,12117.43195,0.015
1513516616,3114.76206,12117.43197,0.013
1513516617,3114.76206,12117.43200,0.011
1513516618,3114.76206,12117.43202,0.011
1513516619,3114.76207,12117.43203,0.006
1513516620,3114.76207,12117.43205,0.015
1513516621,3114.76208,12117.43207,0.011
1513516622,3114.76209,12117.43208,0.020
1513516623,3114.76210,12117.43209,0.009
1513516624,3114.76210,12117.43210,0.024
1513516625,3114.76209,12117.43210,0.004
1513516626,3114.76209,12117.43211,0.017
1513516627,3114.76209,12117.43211,0.013
1513516628,3114.76209,12117.43211,0.007
1513516629,3114.76210,12117.43212,0.030
1513516630,3114.76211,12117.43212,0.013
1513516631,3114.76213,12117.43211,0.007
1513516632,3114.76214,12117.43210,0.011
1513516633,3114.76216,12117.43210,0.011
1513516634,3114.76217,12117.43210,0.007
1513516635,3114.76219,12117.43210,0.028
1513516636,3114.76222,12117.43209,0.024
1513516637,3114.76224,12117.43208,0.020
1513516638,3114.76226,12117.43209,0.009
1513516639,3114.76228,12117.43209,0.004
1513516640,3114.76229,12117.43210,0.011
1513516641,3114.76228,12117.43212,0.006
1513516642,3114.76224,12117.43213,0.041
1513516643,3114.76221,12117.43214,0.002
1513516644,3114.76218,12117.43215,0.030
1513516645,3114.76215,12117.43214,0.026
1513516646,3114.76213,12117.43214,0.009
1513516647,3114.76210,12117.43214,0.028
1513516648,3114.76207,12117.43215,0.028
1513516649,3114.76204,12117.43217,0.011
1513516650,3114.76202,12117.43219,0.020
1513516651,3114.76200,12117.43220,0.017
1513516652,3114.76199,12117.43222,0.022
1513516653,3114.76197,12117.43223,0.019
1513516654,3114.76196,12117.43225,0.015
1513516655,3114.76192,12117.43227,0.006
1513516656,3114.76188,12117.43230,0.011
1513516657,3114.76186,12117.43232,0.026
1513516658,3114.76183,12117.43235,0.020
1513516659,3114.76181,12117.43236,0.007
1513516660,3114.76179,12117.43238,0.017
1513516661,3114.76175,12117.43238,0.019
1513516662,3114.76173,12117.43237,0.026
1513516663,3114.76170,12117.43236,0.028
1513516664,3114.76168,12117.43235,0.013
1513516665,3114.76164,12117.43236,0.028
1513516666,3114.76159,12117.43238,0.024
1513516667,3114.76155,12117.43239,0.028
1513516668,3114.76151,12117.43241,0.024
1513516669,3114.76149,12117.43243,0.024
1513516670,3114.76149,12117.43244,0.013
1513516671,3114.76150,12117.43245,0.007
1513516672,3114.76151,12117.43245,0.015
1513516673,3114.76153,12117.43244,0.013
1513516674,3114.76155,12117.43243,0.019
1513516675,3114.76158,12117.43240,0.022
1513516676,3114.76161,12117.43238,0.011
1513516677,3114.76164,12117.43237,0.011
1513516678,3114.76167,12117.43235,0.015
1513516679,3114.76170,12117.43234,0.020
1513516680,3114.76173,12117.43232,0.017
1513516681,3114.76178,12117.43230,0.019
1513516682,3114.76183,12117.43229,0.030
1513516683,3114.76187,12117.43227,0.000
1513516684,3114.76190,12117.43224,0.011
1513516685,3114.76193,12117.43222,0.028
1513516686,3114.76197,12117.43219,0.019
1513516687,3114.76200,12117.43217,0.020
1513516688,3114.76201,12117.43214,0.019
1513516689,3114.76201,12117.43214,0.019
1513516690,3114.76202,12117.43214,0.020
1513516691,3114.76201,12117.43213,0.011
1513516692,3114.76201,12117.43212,0.030
1513516693,3114.76199,12117.43211,0.002
1513516694,3114.76199,12117.43211,0.004
1513516695,3114.76198,12117.43209,0.015
1513516696,3114.76198,12117.43207,0.013
1513516697,3114.76198,12117.43207,0.011
1513516698,3114.76198,12117.43206,0.030
1513516699,3114.76196,12117.43206,0.026
1513516700,3114.76195,12117.43206,0.024
1513516701,3114.76193,12117.43205,0.011
1513516702,3114.76191,12117.43206,0.013
1513516703,3114.76189,12117.43206,0.015
1513516704,3114.76186,12117.43206,0.019
1513516705,3114.76185,12117.43206,0.017
1513516706,3114.76183,12117.43207,0.009
1513516707,3114.76182,12117.43207,0.026
1513516708,3114.76181,12117.43207,0.017
1513516709,3114.76180,12117.43208,0.033
1513516710,3114.76178,12117.43208,0.024
1513516711,3114.76178,12117.43206,0.002
1513516712,3114.76178,12117.43205,0.022
1513516713,3114.76177,12117.43205,0.013
1513516714,3114.76175,12117.43204,0.020
1513516715,3114.76172,12117.43203,0.013
1513516716,3114.76169,12117.43203,0.019
1513516717,3114.76165,12117.43202,0.017
1513516718,3114.76163,12117.43202,0.007
1513516719,3114.76160,12117.43201,0.011
1513516720,3114.76156,12117.43200,0.031
1513516721,3114.76155,12117.43198,0.013
1513516722,3114.76153,12117.43197,0.026
1513516723,3114.76151,12117.43193,0.022
1513516724,3114.76149,12117.43191,0.017
1513516725,3114.76147,12117.43188,0.015
1513516726,3114.76145,12117.43186,0.017
1513516727,3114.76143,12117.43184,0.022
1513516728,3114.76141,12117.43181,0.015
1513516729,3114.76139,12117.43180,0.011
1513516730,3114.76137,12117.43179,0.017
1513516731,3114.76136,12117.43178,0.009
1513516732,3114.76134,12117.43177,0.017
1513516733,3114.76132,12117.43177,0.006
1513516734,3114.76130,12117.43175,0.020
1513516735,3114.76128,12117.43174,0.017
1513516736,3114.76127,12117.43174,0.026
1513516737,3114.76125,12117.43174,0.024
1513516738,3114.76122,12117.43174,0.002
1513516739,3114.76121,12117.43175,0.013
1513516740,3114.76121,12117.43175,0.024
1513516741,3114.76122,12117.43175,0.020
1513516742,3114.76125,12117.43176,0.020
1513516743,3114.76127,12117.43178,0.041
1513516744,3114.76129,12117.43179,0.011
1513516745,3114.76132,12117.43180,0.017
1513516746,3114.76135,12117.43180,0.017
1513516747,3114.76140,12117.43181,0.011
1513516748,3114.76144,12117.43181,0.033
1513516749,3114.76148,12117.43182,0.024
1513516750,3114.76153,12117.43183,0.020
1513516751,3114.76158,12117.43184,0.043
1513516752,3114.76162,12117.43184,0.019
1513516753,3114.76165,12117.43184,0.013
1513516754,3114.76167,12117.43184,0.006
1513516755,3114.76169,12117.43184,0.030
1513516756,3114.76170,12117.43183,0.013
1513516757,3114.76172,12117.43183,0.020
1513516758,3114.76172,12117.43183,0.019
1513516759,3114.76173,12117.43183,0.006
1513516760,3114.76175,12117.43183,0.006
1513516761,3114.76177,12117.43182,0.015
1513516762,3114.76179,12117.43182,0.020
1513516763,3114.76180,12117.43182,0.020
