timestamp,longitude,latitude,speed
1513084240,3114.53772,12117.69405,0.019
1513084241,3114.53772,12117.69405,0.017
1513084242,3114.53772,12117.69405,0.015
1513084243,3114.53771,12117.69405,0.030
1513084244,3114.53771,12117.69406,0.007
1513084245,3114.53771,12117.69406,0.013
1513084246,3114.53770,12117.69406,0.024
1513084247,3114.53771,12117.69405,0.015
1513084248,3114.53771,12117.69403,0.015
1513084249,3114.53772,12117.69402,0.013
1513084250,3114.53772,12117.69401,0.030
1513084251,3114.53771,12117.69400,0.028
1513084252,3114.53771,12117.69398,0.017
1513084253,3114.53771,12117.69397,0.009
1513084254,3114.53770,12117.69396,0.019
1513084255,3114.53769,12117.69395,0.024
1513084256,3114.53767,12117.69394,0.022
1513084257,3114.53766,12117.69393,0.004
1513084258,3114.53765,12117.69392,0.013
1513084259,3114.53764,12117.69391,0.007
1513084260,3114.53764,12117.69390,0.004
1513084261,3114.53765,12117.69388,0.041
1513084262,3114.53766,12117.69386,0.035
1513084263,3114.53767,12117.69384,0.009
1513084264,3114.53768,12117.69382,0.015
1513084265,3114.53769,12117.69380,0.009
1513084266,3114.53768,12117.69377,0.041
1513084267,3114.53767,12117.69373,0.024
1513084268,3114.53766,12117.69369,0.009
1513084269,3114.53764,12117.69365,0.026
1513084270,3114.53761,12117.69362,0.007
1513084271,3114.53759,12117.69357,0.019
1513084272,3114.53756,12117.69353,0.041
1513084273,3114.53752,12117.69349,0.015
1513084274,3114.53748,12117.69345,0.026
1513084275,3114.53745,12117.69341,0.019
1513084276,3114.53742,12117.69337,0.011
1513084277,3114.53740,12117.69333,0.009
1513084278,3114.53737,12117.69330,0.019
1513084279,3114.53736,12117.69327,0.019
1513084280,3114.53734,12117.69324,0.004
1513084281,3114.53732,12117.69321,0.033
1513084282,3114.53730,12117.69318,0.046
1513084283,3114.53729,12117.69316,0.009
1513084284,3114.53728,12117.69315,0.041
1513084285,3114.53727,12117.69314,0.022
1513084286,3114.53727,12117.69314,0.009
1513084287,3114.53726,12117.69314,0.013
1513084288,3114.53727,12117.69313,0.022
1513084289,3114.53726,12117.69313,0.019
1513084290,3114.53726,12117.69314,0.009
1513084291,3114.53726,12117.69316,0.020
1513084292,3114.53726,12117.69319,0.013
1513084293,3114.53726,12117.69321,0.007
1513084294,3114.53726,12117.69323,0.015
1513084295,3114.53726,12117.69325,0.017
1513084296,3114.53727,12117.69328,0.022
1513084297,3114.53727,12117.69330,0.013
1513084298,3114.53727,12117.69333,0.017
1513084299,3114.53726,12117.69335,0.013
1513084300,3114.53726,12117.69336,0.026
1513084301,3114.53725,12117.69339,0.020
1513084302,3114.53725,12117.69341,0.019
1513084303,3114.53726,12117.69344,0.015
1513084304,3114.53726,12117.69346,0.004
1513084305,3114.53727,12117.69349,0.011
1513084306,3114.53728,12117.69353,0.017
1513084307,3114.53728,12117.69357,0.043
1513084308,3114.53729,12117.69361,0.009
1513084309,3114.53730,12117.69364,0.013
1513084310,3114.53730,12117.69366,0.020
1513084311,3114.53732,12117.69369,0.019
1513084312,3114.53734,12117.69371,0.024
1513084313,3114.53735,12117.69374,0.017
1513084314,3114.53737,12117.69376,0.022
1513084315,3114.53740,12117.69378,0.033
1513084316,3114.53740,12117.69380,0.011
1513084317,3114.53741,12117.69384,0.013
1513084318,3114.53741,12117.69389,0.000
1513084319,3114.53741,12117.69392,0.026
1513084320,3114.53741,12117.69397,0.013
1513084321,3114.53742,12117.69399,0.024
1513084322,3114.53745,12117.69401,0.015
1513084323,3114.53748,12117.69403,0.013
1513084324,3114.53751,12117.69405,0.015
1513084325,3114.53754,12117.69405,0.020
1513084326,3114.53756,12117.69405,0.024
1513084327,3114.53757,12117.69405,0.026
1513084328,3114.53759,12117.69405,0.022
1513084329,3114.53761,12117.69405,0.015
1513084330,3114.53762,12117.69404,0.006
1513084331,3114.53763,12117.69404,0.019
1513084332,3114.53763,12117.69406,0.015
1513084333,3114.53763,12117.69408,0.022
1513084334,3114.53763,12117.69411,0.017
1513084335,3114.53762,12117.69414,0.017
1513084336,3114.53761,12117.69415,0.015
1513084337,3114.53759,12117.69415,0.017
1513084338,3114.53759,12117.69413,0.015
1513084339,3114.53759,12117.69412,0.015
1513084340,3114.53759,12117.69410,0.022
1513084341,3114.53758,12117.69409,0.026
1513084342,3114.53756,12117.69409,0.011
1513084343,3114.53753,12117.69408,0.022
1513084344,3114.53751,12117.69407,0.009
1513084345,3114.53749,12117.69408,0.019
1513084346,3114.53745,12117.69411,0.022
1513084347,3114.53740,12117.69415,0.019
1513084348,3114.53735,12117.69417,0.030
1513084349,3114.53731,12117.69420,0.017
1513084350,3114.53727,12117.69421,0.030
1513084351,3114.53723,12117.69421,0.019
1513084352,3114.53719,12117.69420,0.020
1513084353,3114.53714,12117.69420,0.026
1513084354,3114.53710,12117.69419,0.026
1513084355,3114.53707,12117.69418,0.022
1513084356,3114.53705,12117.69418,0.015
1513084357,3114.53703,12117.69417,0.019
1513084358,3114.53700,12117.69417,0.007
1513084359,3114.53698,12117.69417,0.015
1513084360,3114.53695,12117.69417,0.011
1513084361,3114.53692,12117.69418,0.017
1513084362,3114.53689,12117.69416,0.041
1513084363,3114.53685,12117.69415,0.024
1513084364,3114.53684,12117.69412,0.007
1513084365,3114.53683,12117.69410,0.017
1513084366,3114.53682,12117.69408,0.031
1513084367,3114.53682,12117.69406,0.041
1513084368,3114.53681,12117.69404,0.015
1513084369,3114.53678,12117.69402,0.026
1513084370,3114.53675,12117.69401,0.019
1513084371,3114.53671,12117.69401,0.028
1513084372,3114.53666,12117.69399,0.041
1513084373,3114.53664,12117.69398,0.017
1513084374,3114.53661,12117.69396,0.002
1513084375,3114.53658,12117.69394,0.030
1513084376,3114.53655,12117.69392,0.028
1513084377,3114.53652,12117.69389,0.022
1513084378,3114.53651,12117.69387,0.028
1513084379,3114.53649,12117.69385,0.020
1513084380,3114.53648,12117.69383,0.013
1513084381,3114.53646,12117.69381,0.028
1513084382,3114.53645,12117.69380,0.054
1513084383,3114.53645,12117.69378,0.019
1513084384,3114.53643,12117.69378,0.030
1513084385,3114.53641,12117.69377,0.024
1513084386,3114.53639,12117.69375,0.017
1513084387,3114.53638,12117.69374,0.031
1513084388,3114.53637,12117.69372,0.019
1513084389,3114.53637,12117.69370,0.024
1513084390,3114.53638,12117.69369,0.006
1513084391,3114.53638,12117.69367,0.022
1513084392,3114.53637,12117.69366,0.065
1513084393,3114.53637,12117.69364,0.037
1513084394,3114.53637,12117.69362,0.007
1513084395,3114.53636,12117.69360,0.028
1513084396,3114.53636,12117.69358,0.013
1513084397,3114.53636,12117.69355,0.024
1513084398,3114.53637,12117.69352,0.035
1513084399,3114.53638,12117.69349,0.015
1513084400,3114.53640,12117.69346,0.007
1513084401,3114.53643,12117.69342,0.011
1513084402,3114.53646,12117.69339,0.028
1513084403,3114.53650,12117.69335,0.015
1513084404,3114.53653,12117.69331,0.017
1513084405,3114.53656,12117.69328,0.006
