timestamp,longitude,latitude,speed
1512612623,3951.85141,11622.42184,0.087
1512612624,3951.85130,11622.42187,0.039
1512612625,3951.85137,11622.42190,0.007
1512612626,3951.85140,11622.42197,0.022
1512612627,3951.85144,11622.42204,0.033
1512612628,3951.85145,11622.42210,0.039
1512612629,3951.85147,11622.42210,0.106
1512612630,3951.85144,11622.42213,0.052
1512612631,3951.85140,11622.42214,0.031
1512612632,3951.85133,11622.42213,0.022
1512612633,3951.85128,11622.42207,0.022
1512612634,3951.85124,11622.42197,0.044
1512612635,3951.85126,11622.42179,0.056
1512612636,3951.85122,11622.42163,0.035
1512612637,3951.85123,11622.42146,0.069
1512612638,3951.85126,11622.42127,0.065
1512612639,3951.85130,11622.42115,0.013
1512612640,3951.85133,11622.42117,0.085
1512612641,3951.85128,11622.42113,0.104
1512612642,3951.85131,11622.42101,0.069
1512612643,3951.85132,11622.42092,0.046
1512612644,3951.85127,11622.42082,0.072
1512612645,3951.85130,11622.42078,0.031
1512612646,3951.85129,11622.42078,0.044
1512612647,3951.85123,11622.42077,0.076
1512612648,3951.85114,11622.42080,0.063
1512612649,3951.85100,11622.42091,0.063
1512612650,3951.85087,11622.42100,0.059
1512612651,3951.85074,11622.42104,0.074
1512612652,3951.85062,11622.42109,0.170
1512612653,3951.85046,11622.42109,0.043
1512612654,3951.85035,11622.42115,0.046
1512612655,3951.85029,11622.42127,0.056
1512612656,3951.85023,11622.42139,0.117
1512612657,3951.85017,11622.42161,0.135
1512612658,3951.85009,11622.42187,0.048
1512612659,3951.85003,11622.42213,0.024
1512612660,3951.85000,11622.42244,0.065
1512612661,3951.85008,11622.42259,0.080
1512612662,3951.85013,11622.42273,0.072
1512612663,3951.85020,11622.42286,0.024
1512612664,3951.85028,11622.42301,0.076
1512612665,3951.85034,11622.42315,0.069
1512612666,3951.85039,11622.42324,0.031
1512612667,3951.85040,11622.42341,0.063
1512612668,3951.85038,11622.42348,0.093
1512612669,3951.85041,11622.42350,0.030
1512612670,3951.85046,11622.42360,0.039
1512612671,3951.85051,11622.42371,0.102
1512612672,3951.85056,11622.42382,0.061
1512612673,3951.85062,11622.42394,0.011
1512612674,3951.85068,11622.42406,0.098
1512612675,3951.85079,11622.42416,0.107
1512612676,3951.85086,11622.42432,0.078
1512612677,3951.85092,11622.42447,0.104
1512612678,3951.85102,11622.42456,0.044
1512612679,3951.85112,11622.42464,0.196
1512612680,3951.85124,11622.42473,0.050
1512612681,3951.85134,11622.42485,0.080
1512612682,3951.85151,11622.42496,0.041
1512612683,3951.85166,11622.42505,0.085
1512612684,3951.85182,11622.42508,0.076
1512612685,3951.85201,11622.42516,0.083
1512612686,3951.85212,11622.42527,0.124
1512612687,3951.85225,11622.42540,0.104
1512612688,3951.85237,11622.42550,0.033
1512612689,3951.85248,11622.42575,0.067
1512612690,3951.85261,11622.42598,0.131
1512612691,3951.85272,11622.42615,0.096
1512612692,3951.85282,11622.42637,0.070
1512612693,3951.85286,11622.42656,0.137
1512612694,3951.85296,11622.42680,0.250
1512612695,3951.85296,11622.42700,0.207
1512612696,3951.85300,11622.42713,0.130
1512612697,3951.85295,11622.42729,0.163
1512612698,3951.85297,11622.42746,0.059
1512612699,3951.85303,11622.42763,0.069
1512612700,3951.85300,11622.42788,0.054
1512612701,3951.85300,11622.42808,0.109
1512612702,3951.85302,11622.42832,0.061
1512612703,3951.85304,11622.42848,0.122
1512612704,3951.85306,11622.42861,0.054
1512612705,3951.85310,11622.42867,0.119
1512612706,3951.85312,11622.42873,0.091
1512612707,3951.85310,11622.42877,0.122
1512612708,3951.85304,11622.42879,0.041
1512612709,3951.85291,11622.42878,0.078
1512612710,3951.85281,11622.42877,0.054
1512612711,3951.85273,11622.42870,0.167
1512612712,3951.85263,11622.42863,0.050
1512612713,3951.85259,11622.42864,0.119
1512612714,3951.85253,11622.42866,0.172
1512612715,3951.85248,11622.42866,0.102
1512612716,3951.85249,11622.42866,0.107
1512612717,3951.85257,11622.42862,0.087
1512612718,3951.85265,11622.42854,0.065
1512612719,3951.85266,11622.42848,0.206
1512612720,3951.85254,11622.42846,0.332
1512612721,3951.85249,11622.42838,0.143
1512612722,3951.85241,11622.42836,0.063
1512612723,3951.85223,11622.42849,0.241
1512612724,3951.85203,11622.42862,0.089
1512612725,3951.85179,11622.42883,0.148
1512612726,3951.85167,11622.42907,0.069
1512612727,3951.85154,11622.42939,0.102
1512612728,3951.85151,11622.42970,0.061
1512612729,3951.85147,11622.43000,0.037
1512612730,3951.85149,11622.43023,0.181
1512612731,3951.85146,11622.43044,0.183
1512612732,3951.85145,11622.43062,0.015
1512612733,3951.85149,11622.43075,0.044
1512612734,3951.85151,11622.43089,0.174
1512612735,3951.85148,11622.43102,0.109
1512612736,3951.85152,11622.43109,0.172
1512612737,3951.85153,11622.43115,0.091
1512612738,3951.85173,11622.43100,0.150
1512612739,3951.85184,11622.43103,0.163
1512612740,3951.85211,11622.43096,0.259
1512612741,3951.85222,11622.43097,0.196
1512612742,3951.85245,11622.43086,0.191
1512612743,3951.85263,11622.43084,0.089
1512612744,3951.85280,11622.43078,0.024
1512612745,3951.85302,11622.43062,0.093
1512612746,3951.85326,11622.43051,0.185
1512612747,3951.85358,11622.43031,0.119
1512612748,3951.85375,11622.43019,0.109
1512612749,3951.85401,11622.43000,0.093
1512612750,3951.85421,11622.42986,0.083
1512612751,3951.85426,11622.42986,0.044
1512612752,3951.85427,11622.42991,0.048
1512612753,3951.85439,11622.42982,0.094
1512612754,3951.85448,11622.42976,0.096
1512612755,3951.85453,11622.42966,0.020
1512612756,3951.85454,11622.42964,0.163
1512612757,3951.85465,11622.42957,0.176
1512612758,3951.85477,11622.42952,0.067
1512612759,3951.85489,11622.42947,0.204
1512612760,3951.85491,11622.42945,0.096
1512612761,3951.85490,11622.42949,0.061
1512612762,3951.85484,11622.42960,0.065
1512612763,3951.85476,11622.42970,0.050
1512612764,3951.85468,11622.42975,0.046
1512612765,3951.85457,11622.42975,0.039
1512612766,3951.85448,11622.42979,0.044
1512612767,3951.85434,11622.42990,0.067
1512612768,3951.85419,11622.43006,0.081
1512612769,3951.85404,11622.43016,0.106
1512612770,3951.85390,11622.43026,0.028
1512612771,3951.85381,11622.43033,0.107
1512612772,3951.85387,11622.43036,0.059
1512612773,3951.85385,11622.43047,0.039
1512612774,3951.85391,11622.43057,0.046
1512612775,3951.85395,11622.43075,0.098
1512612776,3951.85400,11622.43089,0.083
1512612777,3951.85406,11622.43102,0.065
1512612778,3951.85417,11622.43111,0.020
1512612779,3951.85427,11622.43119,0.089
1512612780,3951.85425,11622.43138,0.261
1512612781,3951.85425,11622.43143,0.107
1512612782,3951.85424,11622.43143,0.067
1512612783,3951.85432,11622.43146,0.143
1512612784,3951.85437,11622.43151,0.072
1512612785,3951.85447,11622.43151,0.152
1512612786,3951.85456,11622.43154,0.080
1512612787,3951.85477,11622.43142,0.222
1512612788,3951.85482,11622.43136,0.170
1512612789,3951.85498,11622.43133,0.096
1512612790,3951.85506,11622.43119,0.072
1512612791,3951.85530,11622.43109,0.057
1512612792,3951.85545,11622.43107,0.128
1512612793,3951.85556,11622.43096,0.076
1512612794,3951.85573,11622.43099,0.241
1512612795,3951.85574,11622.43117,0.156
1512612796,3951.85591,11622.43129,0.167
1512612797,3951.85591,11622.43149,0.052
1512612798,3951.85590,11622.43169,0.028
1512612799,3951.85585,11622.43189,0.085
1512612800,3951.85567,11622.43216,0.057
1512612801,3951.85551,11622.43235,0.013
1512612802,3951.85545,11622.43244,0.037
1512612803,3951.85525,11622.43260,0.098
1512612804,3951.85511,11622.43279,0.033
1512612805,3951.85494,11622.43300,0.074
1512612806,3951.85484,11622.43311,0.094
