timestamp,longitude,latitude,speed
1512047692,3114.54269,12117.69840,0.046
1512047693,3114.54284,12117.69891,0.050
1512047694,3114.54266,12117.69937,0.013
1512047695,3114.54190,12117.69942,0.096
1512047696,3114.54149,12117.69949,0.009
1512047697,3114.54123,12117.69953,0.022
1512047698,3114.54103,12117.69956,0.011
1512047699,3114.54088,12117.69959,0.019
1512047700,3114.54077,12117.69958,0.013
1512047701,3114.54065,12117.69956,0.024
1512047702,3114.54056,12117.69954,0.024
1512047703,3114.54048,12117.69954,0.009
1512047704,3114.54042,12117.69953,0.015
1512047705,3114.54039,12117.69952,0.006
1512047706,3114.54035,12117.69950,0.006
1512047707,3114.54032,12117.69951,0.007
1512047708,3114.54030,12117.69952,0.006
1512047709,3114.54027,12117.69954,0.013
1512047710,3114.54022,12117.69956,0.030
1512047711,3114.54019,12117.69958,0.037
1512047712,3114.54015,12117.69960,0.013
1512047713,3114.54013,12117.69964,0.022
1512047714,3114.54013,12117.69969,0.019
1512047715,3114.54012,12117.69970,0.022
1512047716,3114.54010,12117.69967,0.006
1512047717,3114.54010,12117.69964,0.013
1512047718,3114.54009,12117.69961,0.013
1512047719,3114.54008,12117.69959,0.006
1512047720,3114.54005,12117.69958,0.013
1512047721,3114.54002,12117.69959,0.019
1512047722,3114.53999,12117.69957,0.007
1512047723,3114.53996,12117.69956,0.050
1512047724,3114.53992,12117.69953,0.026
1512047725,3114.53988,12117.69951,0.033
1512047726,3114.53984,12117.69948,0.024
1512047727,3114.53979,12117.69945,0.011
1512047728,3114.53975,12117.69943,0.004
1512047729,3114.53971,12117.69941,0.007
1512047730,3114.53968,12117.69938,0.007
1512047731,3114.53966,12117.69934,0.006
1512047732,3114.53963,12117.69930,0.009
1512047733,3114.53960,12117.69928,0.039
1512047734,3114.53959,12117.69927,0.026
1512047735,3114.53957,12117.69925,0.002
1512047736,3114.53956,12117.69923,0.013
1512047737,3114.53954,12117.69922,0.013
1512047738,3114.53953,12117.69920,0.013
1512047739,3114.53953,12117.69917,0.017
1512047740,3114.53952,12117.69915,0.002
1512047741,3114.53952,12117.69914,0.011
1512047742,3114.53953,12117.69912,0.019
1512047743,3114.53953,12117.69911,0.028
1512047744,3114.53953,12117.69910,0.037
1512047745,3114.53954,12117.69908,0.059
1512047746,3114.53954,12117.69907,0.017
1512047747,3114.53955,12117.69905,0.006
1512047748,3114.53955,12117.69904,0.015
1512047749,3114.53957,12117.69902,0.002
